Name,Made,Fuel Type,Mileage,Gearbox,Engine,Power,Location,Price
Volkswagen Jetta TSI Trendline,2011-08,Benzinas,267 000 km,Mechaninė,1.2,77,"Kelmė, Lietuva",4 900 €
Mercedes-Benz E 350,2005-08,Benzinas,326 800 km,Automatinė,3.5,200,"Telšiai, Lietuva",4 900 €
Mercedes-Benz E 124,1993-12,Dyzelinas,431 000 km,Automatinė,2.5,83,"Jonava, Lietuva",4 900 €
Volkswagen CC Tdi,2010-12,Dyzelinas,294 400 km,Automatinė,2.0,103,"Kaunas, Lietuva",4 900 €
Volkswagen Caravelle,1998-10,Dyzelinas,285 654 km,Mechaninė,2.5,75,"Kėdainiai, Lietuva",4 900 €
BMW 525 E60 d,2006-05,Dyzelinas,279 628 km,Mechaninė,2.5,130,"Širvintos, Lietuva",4 900 €
Audi A4 B8 TFSI,2009-01,Benzinas,253 520 km,Automatinė,1.8,88,"Vilnius, Lietuva",4 900 €
Volkswagen Passat,2012-01,Benzinas/Dujos,,Automatinė,1.4,110,"Kretinga, Lietuva",4 900 €
BMW 320 E90,2006-09,Dyzelinas,412 159 km,Mechaninė,2.0,90,"Kaišiadorys, Lietuva",4 900 €
Nissan X-Trail SE,2008-12,Benzinas/Dujos,304 545 km,Mechaninė,2.0,104,"Kupiškis, Lietuva",4 900 €
Volkswagen Transporter,2006-06,Dyzelinas,335 000 km,Mechaninė,1.9,75,"Vilnius, Lietuva",4 900 €
Volkswagen Transporter,2004-03,Dyzelinas,,Mechaninė,1.9,77,"Kaišiadorys, Lietuva",4 900 €
Mercedes-Benz Sprinter,2003-01,Dyzelinas,350 000 km,Mechaninė,2.2,95,"Vilnius, Lietuva",4 900 €
Mercedes-Benz C 220,2009-10,Dyzelinas,313 200 km,Mechaninė,2.1,125,"Panevėžys, Lietuva",4 900 €
Toyota Avensis T.A. IKI 2026-01,2011-01,Dyzelinas,320 000 km,Mechaninė,2.0,93,"Kaunas, Lietuva",4 950 €
Kia Sorento CRDi Freedom aut,2009-04,Dyzelinas,201 924 km,Automatinė,2.5,125,"Kretinga, Lietuva",4 950 €
BMW 120,2009-03,Dyzelinas,287 551 km,Mechaninė,2.0,105,"Kretinga, Lietuva",4 950 €
Toyota Verso,2010-05,Dyzelinas,253 500 km,Mechaninė,2.2,130,"Telšiai, Lietuva",4 950 €
BMW 318 d Touring,2009-11,Dyzelinas,250 000 km,Mechaninė,2.0,105,"Klaipėda, Lietuva",4 950 €
Audi A6 C6 TDI Quattro,2007-07,Dyzelinas,200 000 km,Automatinė,3.0,171,"Telšiai, Lietuva",4 950 €
Opel Astra CDTI Cosmo,2011-05,Dyzelinas,275 000 km,Mechaninė,2.0,118,"Vilnius, Lietuva",4 950 €
BMW 528,2008-07,Benzinas,333 000 km,Automatinė,3.0,188,"Vilnius, Lietuva",4 950 €
Seat Leon TDI Reference,2011-01,Dyzelinas,203 000 km,Mechaninė,1.6,77,"Vilnius, Lietuva",4 950 €
Volkswagen Caddy TDI,2009-03,Dyzelinas,306 000 km,Mechaninė,1.9,77,"Vilnius, Lietuva",4 950 €
